burglary,theft plain - petty ($950 & under),battery - simple assault,burglary from vehicle,vehicle - stolen,theft of identity,criminal threats - no weapon displayed,"assault with deadly weapon, aggravated assault",document forgery / stolen felony,"letters, lewd",other miscellaneous crime,"rape, forcible",battery with sexual contact,brandish weapon,"bunco, grand theft",crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,threatening phone calls/letters,child annoying (17yrs & under),discharge firearms/shots fired,stalking,grid_id,week_year,week_number
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,37
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,38
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,39
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,40
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,41
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,42
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,43
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,44
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,45
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,46
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,47
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,48
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,49
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,51
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,52
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,2
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,3
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,4
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,6
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,7
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,8
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,10
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,11
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,12
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2014,14
